timestamp,humidity,context_humidity,date (Asia/Kolkata)
1694705682152,79.0,{},2023-09-14 21:04:42.152000+05:30
1694705300815,77.0,{},2023-09-14 20:58:20.815000+05:30
1694704919503,78.0,{},2023-09-14 20:51:59.503000+05:30
1694704538131,77.0,{},2023-09-14 20:45:38.131000+05:30
1694704156768,76.0,{},2023-09-14 20:39:16.768000+05:30
1694703775420,77.0,{},2023-09-14 20:32:55.420000+05:30
1694703394076,77.0,{},2023-09-14 20:26:34.076000+05:30
1694702631697,77.0,{},2023-09-14 20:13:51.697000+05:30
1694702218076,78.0,{},2023-09-14 20:06:58.076000+05:30
1694701837372,78.0,{},2023-09-14 20:00:37.372000+05:30
1694701456433,78.0,{},2023-09-14 19:54:16.433000+05:30
1694700964978,79.0,{},2023-09-14 19:46:04.978000+05:30
1694700583903,81.0,{},2023-09-14 19:39:43.903000+05:30
1694700202199,81.0,{},2023-09-14 19:33:22.199000+05:30
1694699820806,81.0,{},2023-09-14 19:27:00.806000+05:30
1694699439403,83.0,{},2023-09-14 19:20:39.403000+05:30
1694699058537,84.0,{},2023-09-14 19:14:18.537000+05:30
1694698677079,84.0,{},2023-09-14 19:07:57.079000+05:30
1694698295589,85.0,{},2023-09-14 19:01:35.589000+05:30
1694697914085,86.0,{},2023-09-14 18:55:14.085000+05:30
1694697533122,86.0,{},2023-09-14 18:48:53.122000+05:30
1694697151847,84.0,{},2023-09-14 18:42:31.847000+05:30
1694696770961,83.0,{},2023-09-14 18:36:10.961000+05:30
1694696389580,80.0,{},2023-09-14 18:29:49.580000+05:30
1694696008587,78.0,{},2023-09-14 18:23:28.587000+05:30
1694695628791,76.0,{},2023-09-14 18:17:08.791000+05:30
1694695245791,75.0,{},2023-09-14 18:10:45.791000+05:30
1694694482947,71.0,{},2023-09-14 17:58:02.947000+05:30
1694694101093,68.0,{},2023-09-14 17:51:41.093000+05:30
1694693719415,66.0,{},2023-09-14 17:45:19.415000+05:30
1694693337875,64.0,{},2023-09-14 17:38:57.875000+05:30
1694692956018,64.0,{},2023-09-14 17:32:36.018000+05:30
1694692574279,63.0,{},2023-09-14 17:26:14.279000+05:30
1694692192686,60.0,{},2023-09-14 17:19:52.686000+05:30
