timestamp,current,context_current,date (Asia/Kolkata)
1665132560527,0.724,{},2022-10-07 14:19:20.527000+05:30
1665132189547,0.743,{},2022-10-07 14:13:09.547000+05:30
1665132127289,0.727,{},2022-10-07 14:12:07.289000+05:30
1665132003477,0.913,{},2022-10-07 14:10:03.477000+05:30
1665131756013,0.893,{},2022-10-07 14:05:56.013000+05:30
1665131570428,0.874,{},2022-10-07 14:02:50.428000+05:30
1665131323230,0.867,{},2022-10-07 13:58:43.230000+05:30
1665131199144,0.881,{},2022-10-07 13:56:39.144000+05:30
1665131075454,0.865,{},2022-10-07 13:54:35.454000+05:30
1665130828127,0.902,{},2022-10-07 13:50:28.127000+05:30
1665130766287,0.877,{},2022-10-07 13:49:26.287000+05:30
1665130728371,0.876,{},2022-10-07 13:48:48.371000+05:30
1665130642614,0.883,{},2022-10-07 13:47:22.614000+05:30
1665130580743,0.877,{},2022-10-07 13:46:20.743000+05:30
1665130277595,0.882,{},2022-10-07 13:41:17.595000+05:30
1665130147922,0.895,{},2022-10-07 13:39:07.922000+05:30
1665130024150,0.901,{},2022-10-07 13:37:04.150000+05:30
1665129901191,0.935,{},2022-10-07 13:35:01.191000+05:30
1665129780021,0.959,{},2022-10-07 13:33:00.021000+05:30
1665129652900,1.013,{},2022-10-07 13:30:52.900000+05:30
1665129595094,0.752,{},2022-10-07 13:29:55.094000+05:30
1665129544523,0.797,{},2022-10-07 13:29:04.523000+05:30
1665129471079,0.909,{},2022-10-07 13:27:51.079000+05:30
1665129220050,0.795,{},2022-10-07 13:23:40.050000+05:30
1665129096345,0.589,{},2022-10-07 13:21:36.345000+05:30
1665129034496,0.461,{},2022-10-07 13:20:34.496000+05:30
1665128972690,0.553,{},2022-10-07 13:19:32.690000+05:30
1665128910856,0.548,{},2022-10-07 13:18:30.856000+05:30
1665128787584,0.558,{},2022-10-07 13:16:27.584000+05:30
1665128416240,0.403,{},2022-10-07 13:10:16.240000+05:30
1665128354330,0.407,{},2022-10-07 13:09:14.330000+05:30
1665128292657,0.412,{},2022-10-07 13:08:12.657000+05:30
1665128237345,0.399,{},2022-10-07 13:07:17.345000+05:30
1665128044967,0.404,{},2022-10-07 13:04:04.967000+05:30
1665127983860,0.416,{},2022-10-07 13:03:03.860000+05:30
1665127921105,0.402,{},2022-10-07 13:02:01.105000+05:30
1665127859169,0.416,{},2022-10-07 13:00:59.169000+05:30
1665127797209,0.605,{},2022-10-07 12:59:57.209000+05:30
1665127246572,5.333,{},2022-10-07 12:50:46.572000+05:30
1665127178623,5.201,{},2022-10-07 12:49:38.623000+05:30
1665127054850,5.093,{},2022-10-07 12:47:34.850000+05:30
1665126683967,5.197,{},2022-10-07 12:41:23.967000+05:30
1665126190005,0.707,{},2022-10-07 12:33:10.005000+05:30
1665125879565,0.719,{},2022-10-07 12:27:59.565000+05:30
1665125694031,0.723,{},2022-10-07 12:24:54.031000+05:30
1665125074811,0.555,{},2022-10-07 12:14:34.811000+05:30
1665124517845,0.585,{},2022-10-07 12:05:17.845000+05:30
1665124455928,0.551,{},2022-10-07 12:04:15.928000+05:30
1665124332241,0.582,{},2022-10-07 12:02:12.241000+05:30
1665124270450,0.579,{},2022-10-07 12:01:10.450000+05:30
1665123837801,0.535,{},2022-10-07 11:53:57.801000+05:30
1665123466102,0.557,{},2022-10-07 11:47:46.102000+05:30
1665123343212,0.555,{},2022-10-07 11:45:43.212000+05:30
1665123170373,0.672,{},2022-10-07 11:42:50.373000+05:30
