timestamp,temperature,context_temperature,date (Asia/Kolkata)
1694706824992,29.0,{},2023-09-14 21:23:44.992000+05:30
1694706443814,29.0,{},2023-09-14 21:17:23.814000+05:30
1694706062640,29.1,{},2023-09-14 21:11:02.640000+05:30
1694705681202,29.1,{},2023-09-14 21:04:41.202000+05:30
1694705299810,29.299999,{},2023-09-14 20:58:19.810000+05:30
1694704918479,29.200001,{},2023-09-14 20:51:58.479000+05:30
1694704537144,29.4,{},2023-09-14 20:45:37.144000+05:30
1694704155779,29.4,{},2023-09-14 20:39:15.779000+05:30
1694703774443,29.4,{},2023-09-14 20:32:54.443000+05:30
1694703393138,29.5,{},2023-09-14 20:26:33.138000+05:30
1694703019197,29.5,{},2023-09-14 20:20:19.197000+05:30
1694702630558,29.6,{},2023-09-14 20:13:50.558000+05:30
1694702217108,29.6,{},2023-09-14 20:06:57.108000+05:30
1694701836296,29.700001,{},2023-09-14 20:00:36.296000+05:30
1694701455552,29.700001,{},2023-09-14 19:54:15.552000+05:30
1694700964103,29.700001,{},2023-09-14 19:46:04.103000+05:30
1694700582667,29.700001,{},2023-09-14 19:39:42.667000+05:30
1694700201176,29.700001,{},2023-09-14 19:33:21.176000+05:30
1694699819808,29.700001,{},2023-09-14 19:26:59.808000+05:30
1694699438562,29.700001,{},2023-09-14 19:20:38.562000+05:30
1694699057782,29.799999,{},2023-09-14 19:14:17.782000+05:30
1694698676081,29.700001,{},2023-09-14 19:07:56.081000+05:30
1694698294581,29.9,{},2023-09-14 19:01:34.581000+05:30
1694697913407,30.0,{},2023-09-14 18:55:13.407000+05:30
1694697532041,30.1,{},2023-09-14 18:48:52.041000+05:30
1694697150840,30.200001,{},2023-09-14 18:42:30.840000+05:30
1694696769989,30.200001,{},2023-09-14 18:36:09.989000+05:30
1694696388802,30.4,{},2023-09-14 18:29:48.802000+05:30
1694696007581,30.5,{},2023-09-14 18:23:27.581000+05:30
1694695244709,30.5,{},2023-09-14 18:10:44.709000+05:30
1694694865138,30.6,{},2023-09-14 18:04:25.138000+05:30
1694694481882,30.700001,{},2023-09-14 17:58:01.882000+05:30
1694694100096,30.9,{},2023-09-14 17:51:40.096000+05:30
1694693718455,31.0,{},2023-09-14 17:45:18.455000+05:30
1694693336936,31.6,{},2023-09-14 17:38:56.936000+05:30
1694692955028,31.9,{},2023-09-14 17:32:35.028000+05:30
1694692573297,32.299999,{},2023-09-14 17:26:13.297000+05:30
1694692191404,32.700001,{},2023-09-14 17:19:51.404000+05:30
1694691809602,33.099998,{},2023-09-14 17:13:29.602000+05:30
1694691427588,33.200001,{},2023-09-14 17:07:07.588000+05:30
1694691047485,33.700001,{},2023-09-14 17:00:47.485000+05:30
1694690663575,33.700001,{},2023-09-14 16:54:23.575000+05:30
1694690281467,34.0,{},2023-09-14 16:48:01.467000+05:30
1694689899848,34.299999,{},2023-09-14 16:41:39.848000+05:30
1694689517713,34.200001,{},2023-09-14 16:35:17.713000+05:30
1694689135548,34.200001,{},2023-09-14 16:28:55.548000+05:30
1694688753413,34.700001,{},2023-09-14 16:22:33.413000+05:30
1694688371535,34.5,{},2023-09-14 16:16:11.535000+05:30
1694687989141,34.0,{},2023-09-14 16:09:49.141000+05:30
1694687607031,33.900002,{},2023-09-14 16:03:27.031000+05:30
1694687224994,34.299999,{},2023-09-14 15:57:04.994000+05:30
1694686842990,34.0,{},2023-09-14 15:50:42.990000+05:30
1694686460693,34.299999,{},2023-09-14 15:44:20.693000+05:30
1694686079001,34.700001,{},2023-09-14 15:37:59.001000+05:30
1694685696772,34.799999,{},2023-09-14 15:31:36.772000+05:30
1694685314912,35.0,{},2023-09-14 15:25:14.912000+05:30
1694684933123,34.799999,{},2023-09-14 15:18:53.123000+05:30
1694684551312,34.400002,{},2023-09-14 15:12:31.312000+05:30
1694684169067,34.400002,{},2023-09-14 15:06:09.067000+05:30
1694683787067,34.700001,{},2023-09-14 14:59:47.067000+05:30
1694683404898,35.099998,{},2023-09-14 14:53:24.898000+05:30
1694683022647,35.099998,{},2023-09-14 14:47:02.647000+05:30
1694682640328,34.700001,{},2023-09-14 14:40:40.328000+05:30
1694682258051,34.599998,{},2023-09-14 14:34:18.051000+05:30
1694681875904,35.0,{},2023-09-14 14:27:55.904000+05:30
1694602501873,33.299999,{},2023-09-13 16:25:01.873000+05:30
1694602120014,33.299999,{},2023-09-13 16:18:40.014000+05:30
1694601738385,33.5,{},2023-09-13 16:12:18.385000+05:30
1694601356351,33.400002,{},2023-09-13 16:05:56.351000+05:30
1694600974568,33.599998,{},2023-09-13 15:59:34.568000+05:30
1694600592693,34.200001,{},2023-09-13 15:53:12.693000+05:30
1694600210784,34.799999,{},2023-09-13 15:46:50.784000+05:30
1694599828788,34.799999,{},2023-09-13 15:40:28.788000+05:30
1694599446782,34.599998,{},2023-09-13 15:34:06.782000+05:30
1694599064780,34.700001,{},2023-09-13 15:27:44.780000+05:30
1694598683839,35.099998,{},2023-09-13 15:21:23.839000+05:30
1694598300866,35.200001,{},2023-09-13 15:15:00.866000+05:30
1694597918795,35.099998,{},2023-09-13 15:08:38.795000+05:30
1694597536772,34.5,{},2023-09-13 15:02:16.772000+05:30
1694597154840,34.0,{},2023-09-13 14:55:54.840000+05:30
1694596772946,34.0,{},2023-09-13 14:49:32.946000+05:30
1694596391240,34.400002,{},2023-09-13 14:43:11.240000+05:30
1694596009349,34.400002,{},2023-09-13 14:36:49.349000+05:30
1694595627550,34.599998,{},2023-09-13 14:30:27.550000+05:30
1694595245648,34.799999,{},2023-09-13 14:24:05.648000+05:30
1694594863773,34.400002,{},2023-09-13 14:17:43.773000+05:30
1694594481949,34.400002,{},2023-09-13 14:11:21.949000+05:30
1694594100714,34.700001,{},2023-09-13 14:05:00.714000+05:30
1694593719424,34.900002,{},2023-09-13 13:58:39.424000+05:30
1694593337990,34.799999,{},2023-09-13 13:52:17.990000+05:30
1694592956573,34.400002,{},2023-09-13 13:45:56.573000+05:30
1694592574753,33.799999,{},2023-09-13 13:39:34.753000+05:30
1694592193393,33.900002,{},2023-09-13 13:33:13.393000+05:30
1694591811650,33.299999,{},2023-09-13 13:26:51.650000+05:30
1694591429977,33.700001,{},2023-09-13 13:20:29.977000+05:30
1694591048237,33.700001,{},2023-09-13 13:14:08.237000+05:30
1694590666459,33.599998,{},2023-09-13 13:07:46.459000+05:30
1694590284759,33.200001,{},2023-09-13 13:01:24.759000+05:30
1694589903128,33.200001,{},2023-09-13 12:55:03.128000+05:30
1694589521488,33.200001,{},2023-09-13 12:48:41.488000+05:30
1694589139785,32.700001,{},2023-09-13 12:42:19.785000+05:30
1694588758704,33.200001,{},2023-09-13 12:35:58.704000+05:30
1694588377584,32.799999,{},2023-09-13 12:29:37.584000+05:30
1694587996449,32.0,{},2023-09-13 12:23:16.449000+05:30
1694587614856,32.799999,{},2023-09-13 12:16:54.856000+05:30
1694587233342,32.700001,{},2023-09-13 12:10:33.342000+05:30
1694586471017,31.700001,{},2023-09-13 11:57:51.017000+05:30
1694586089514,31.1,{},2023-09-13 11:51:29.514000+05:30
1694585708438,31.700001,{},2023-09-13 11:45:08.438000+05:30
1694585327584,31.4,{},2023-09-13 11:38:47.584000+05:30
1694584945864,31.1,{},2023-09-13 11:32:25.864000+05:30
1694584564683,31.1,{},2023-09-13 11:26:04.683000+05:30
